table_name,foreign_key,foreign_key_details,referred_table,referred_columns
address,address_city_id_fkey,FOREIGN KEY (city_id) REFERENCES city(city_id) ON UPDATE CASCADE ON DELETE RESTRICT,city,['city_id']
city,city_country_id_fkey,FOREIGN KEY (country_id) REFERENCES country(country_id) ON UPDATE CASCADE ON DELETE RESTRICT,country,['country_id']
customer,customer_address_id_fkey,FOREIGN KEY (address_id) REFERENCES address(address_id) ON UPDATE CASCADE ON DELETE RESTRICT,address,['address_id']
customer,customer_store_id_fkey,FOREIGN KEY (store_id) REFERENCES store(store_id) ON UPDATE CASCADE ON DELETE RESTRICT,store,['store_id']
film,film_original_language_id_fkey,FOREIGN KEY (original_language_id) REFERENCES language(language_id) ON UPDATE CASCADE ON DELETE RESTRICT,language,['language_id']
film,film_language_id_fkey,FOREIGN KEY (language_id) REFERENCES language(language_id) ON UPDATE CASCADE ON DELETE RESTRICT,language,['language_id']
film_actor,film_actor_film_id_fkey,FOREIGN KEY (film_id) REFERENCES film(film_id) ON UPDATE CASCADE ON DELETE RESTRICT,film,['film_id']
film_actor,film_actor_actor_id_fkey,FOREIGN KEY (actor_id) REFERENCES actor(actor_id) ON UPDATE CASCADE ON DELETE RESTRICT,actor,['actor_id']
film_category,film_category_category_id_fkey,FOREIGN KEY (category_id) REFERENCES category(category_id) ON UPDATE CASCADE ON DELETE RESTRICT,category,['category_id']
film_category,film_category_film_id_fkey,FOREIGN KEY (film_id) REFERENCES film(film_id) ON UPDATE CASCADE ON DELETE RESTRICT,film,['film_id']
inventory,inventory_film_id_fkey,FOREIGN KEY (film_id) REFERENCES film(film_id) ON UPDATE CASCADE ON DELETE RESTRICT,film,['film_id']
inventory,inventory_store_id_fkey,FOREIGN KEY (store_id) REFERENCES store(store_id) ON UPDATE CASCADE ON DELETE RESTRICT,store,['store_id']
payment_p2020_01,payment_p2020_01_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customer(customer_id),customer,['customer_id']
payment_p2020_01,payment_p2020_01_rental_id_fkey,FOREIGN KEY (rental_id) REFERENCES rental(rental_id),rental,['rental_id']
payment_p2020_01,payment_p2020_01_staff_id_fkey,FOREIGN KEY (staff_id) REFERENCES staff(staff_id),staff,['staff_id']
payment_p2020_02,payment_p2020_02_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customer(customer_id),customer,['customer_id']
payment_p2020_02,payment_p2020_02_rental_id_fkey,FOREIGN KEY (rental_id) REFERENCES rental(rental_id),rental,['rental_id']
payment_p2020_02,payment_p2020_02_staff_id_fkey,FOREIGN KEY (staff_id) REFERENCES staff(staff_id),staff,['staff_id']
payment_p2020_03,payment_p2020_03_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customer(customer_id),customer,['customer_id']
payment_p2020_03,payment_p2020_03_rental_id_fkey,FOREIGN KEY (rental_id) REFERENCES rental(rental_id),rental,['rental_id']
payment_p2020_03,payment_p2020_03_staff_id_fkey,FOREIGN KEY (staff_id) REFERENCES staff(staff_id),staff,['staff_id']
payment_p2020_04,payment_p2020_04_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customer(customer_id),customer,['customer_id']
payment_p2020_04,payment_p2020_04_rental_id_fkey,FOREIGN KEY (rental_id) REFERENCES rental(rental_id),rental,['rental_id']
payment_p2020_04,payment_p2020_04_staff_id_fkey,FOREIGN KEY (staff_id) REFERENCES staff(staff_id),staff,['staff_id']
payment_p2020_05,payment_p2020_05_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customer(customer_id),customer,['customer_id']
payment_p2020_05,payment_p2020_05_rental_id_fkey,FOREIGN KEY (rental_id) REFERENCES rental(rental_id),rental,['rental_id']
payment_p2020_05,payment_p2020_05_staff_id_fkey,FOREIGN KEY (staff_id) REFERENCES staff(staff_id),staff,['staff_id']
payment_p2020_06,payment_p2020_06_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customer(customer_id),customer,['customer_id']
payment_p2020_06,payment_p2020_06_rental_id_fkey,FOREIGN KEY (rental_id) REFERENCES rental(rental_id),rental,['rental_id']
payment_p2020_06,payment_p2020_06_staff_id_fkey,FOREIGN KEY (staff_id) REFERENCES staff(staff_id),staff,['staff_id']
rental,rental_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customer(customer_id) ON UPDATE CASCADE ON DELETE RESTRICT,customer,['customer_id']
rental,rental_inventory_id_fkey,FOREIGN KEY (inventory_id) REFERENCES inventory(inventory_id) ON UPDATE CASCADE ON DELETE RESTRICT,inventory,['inventory_id']
rental,rental_staff_id_fkey,FOREIGN KEY (staff_id) REFERENCES staff(staff_id) ON UPDATE CASCADE ON DELETE RESTRICT,staff,['staff_id']
staff,staff_address_id_fkey,FOREIGN KEY (address_id) REFERENCES address(address_id) ON UPDATE CASCADE ON DELETE RESTRICT,address,['address_id']
staff,staff_store_id_fkey,FOREIGN KEY (store_id) REFERENCES store(store_id),store,['store_id']
store,store_address_id_fkey,FOREIGN KEY (address_id) REFERENCES address(address_id) ON UPDATE CASCADE ON DELETE RESTRICT,address,['address_id']
